season,batting_team,batter,matches,total_balls,total_runs,dot_balls,ones,twos,threes,fours,sixes,thirty_plus,fifty_plus,hundred_plus,dismissals,Not_outs,batting_average,strike_rate,runs_fours(4s)%,runs_sixes(6s)%,boundary_runs(%),dot_balls(%),Hussey_Index,DPPI,BPI
2008,Chennai Super Kings,JA Morkel,10,163,241,63,62,10,1,18,14,3,1,0,7,3,34.43,147.85,29.88,34.85,64.73,38.65,182.28,50.9,64.64
2008,Chennai Super Kings,MS Dhoni,14,310,414,124,114,26,2,38,15,8,2,0,10,4,41.4,133.55,36.71,21.74,58.45,40.0,174.95000000000002,55.29,60.74
2008,Chennai Super Kings,PA Patel,13,297,302,166,92,12,0,42,3,3,2,0,11,2,27.45,101.68,55.63,5.96,61.59,55.89,129.13,27.91,48.81
2008,Chennai Super Kings,S Badrinath,11,130,192,59,41,8,1,21,8,3,2,0,6,5,32.0,147.69,43.75,25.0,68.75,45.38,179.69,47.26,65.26
2008,Chennai Super Kings,S Vidyut,8,109,145,55,30,5,1,21,3,2,1,0,8,0,18.12,133.03,57.93,12.41,70.34,50.46,151.15,24.11,57.75
2008,Chennai Super Kings,SK Raina,14,295,421,98,133,20,0,35,18,7,3,0,11,3,38.27,142.71,33.25,25.65,58.91,33.22,180.98000000000002,54.62,63.0
2008,Chennai Super Kings,SP Fleming,10,165,196,86,42,11,2,27,3,3,0,0,9,1,21.78,118.79,55.1,9.18,64.29,52.12,140.57,25.87,52.95
2008,Deccan Chargers,AC Gilchrist,14,318,436,153,93,11,1,51,19,5,3,1,13,1,33.54,137.11,46.79,26.15,72.94,48.11,170.65,45.99,63.03
2008,Deccan Chargers,HH Gibbs,9,153,167,90,38,5,1,17,8,2,0,0,9,0,18.56,109.15,40.72,28.74,69.46,58.82,127.71000000000001,20.26,50.35
2008,Deccan Chargers,RG Sharma,12,273,404,100,101,17,1,38,19,7,4,0,11,1,36.73,147.99,37.62,28.22,65.84,36.63,184.72,54.36,65.61
2008,Deccan Chargers,SB Styris,8,123,112,52,58,3,0,9,2,1,0,0,6,2,18.67,91.06,32.14,10.71,42.86,42.28,109.73,17.0,39.82
2008,Deccan Chargers,Shahid Afridi,9,46,81,20,12,0,0,7,6,1,0,0,8,1,10.12,176.09,34.57,44.44,79.01,43.48,186.21,17.82,70.75
2008,Deccan Chargers,Y Venugopal Rao,10,210,288,87,79,13,0,22,15,4,2,0,8,2,36.0,137.14,30.56,31.25,61.81,41.43,173.14,49.37,61.2
2008,Delhi Daredevils,G Gambhir,14,379,534,134,156,26,2,68,8,8,5,0,13,1,41.08,140.9,50.94,8.99,59.93,35.36,181.98000000000002,57.88,63.32
2008,Delhi Daredevils,KD Karthik,8,107,145,35,43,13,0,13,4,1,1,0,6,2,24.17,135.51,35.86,16.55,52.41,32.71,159.68,32.75,56.32
2008,Delhi Daredevils,MF Maharoof,8,79,125,27,27,8,0,10,7,1,0,0,6,2,20.83,158.23,32.0,33.6,65.6,34.18,179.06,32.96,64.96
2008,Delhi Daredevils,MK Tiwary,7,85,104,33,36,2,0,16,0,2,0,0,4,3,26.0,122.35,61.54,0.0,61.54,38.82,148.35,31.81,54.51
2008,Delhi Daredevils,S Dhawan,14,295,340,134,111,19,1,35,8,4,4,0,9,5,37.78,115.25,41.18,14.12,55.29,45.42,153.03,43.54,54.29
2008,Delhi Daredevils,TM Dilshan,7,79,104,34,26,2,0,14,3,1,0,0,6,1,17.33,131.65,53.85,17.31,71.15,43.04,148.98000000000002,22.81,57.29
2008,Delhi Daredevils,V Sehwag,14,219,406,77,75,9,1,46,21,5,3,0,12,2,33.83,185.39,45.32,31.03,76.35,35.16,219.21999999999997,62.72,78.3
2008,Kings XI Punjab,DPMD Jayawardene,12,131,179,52,53,9,2,15,7,2,0,0,7,5,25.57,136.64,33.52,23.46,56.98,39.69,162.20999999999998,34.94,58.0
2008,Kings XI Punjab,IK Pathan,10,116,131,56,42,6,0,9,6,1,0,0,6,4,21.83,112.93,27.48,27.48,54.96,48.28,134.76,24.65,49.64
2008,Kings XI Punjab,JR Hopes,11,148,221,61,48,7,1,27,8,2,2,0,11,0,20.09,149.32,48.87,21.72,70.59,41.22,169.41,30.0,63.23
2008,Kings XI Punjab,KC Sangakkara,9,198,320,69,73,13,3,41,8,4,4,0,9,0,35.56,161.62,51.25,15.0,66.25,34.85,197.18,57.47,69.45
2008,Kings XI Punjab,PP Chawla,7,59,90,25,14,9,0,10,3,0,0,0,4,3,22.5,152.54,44.44,20.0,64.44,42.37,175.04,34.32,63.45
2008,Kings XI Punjab,SE Marsh,11,441,616,171,170,24,2,59,26,9,5,1,9,2,68.44,139.68,38.31,25.32,63.64,38.78,208.12,95.6,69.32
2008,Kings XI Punjab,Yuvraj Singh,14,184,299,68,72,7,1,24,19,3,1,0,13,1,23.0,162.5,32.11,38.13,70.23,36.96,185.5,37.38,67.65
2008,Kolkata Knight Riders,DJ Hussey,13,259,319,109,103,19,0,19,17,5,2,0,11,2,29.0,123.17,23.82,31.97,55.8,42.08,152.17000000000002,35.72,54.41
2008,Kolkata Knight Riders,LR Shukla,12,122,163,44,57,4,0,17,5,2,0,0,8,4,20.38,133.61,41.72,18.4,60.12,36.07,153.99,27.23,56.58
2008,Kolkata Knight Riders,Mohammad Hafeez,8,83,64,51,24,0,0,7,2,0,0,0,7,1,9.14,77.11,43.75,18.75,62.5,61.45,86.25,7.05,37.56
2008,Kolkata Knight Riders,SC Ganguly,13,307,349,167,95,12,1,33,15,4,3,0,12,1,29.08,113.68,37.82,25.79,63.61,54.4,142.76,33.06,53.19
